vpn299555612,638221,4,461999316,JP
vpn683559808,602282,7,288483273,JP
vpn522796349,601469,15,54173784,JP
vpn618426726,596988,6,93539345,JP
vpn136393506,592348,9,44419763,JP
vpn412023883,591733,8,312511072,JP
vpn653690645,588207,9,65334256,JP
vpn412933341,586475,6,230236652,JP
vpn706222569,527903,31,92340347,KR
vpn647133614,526316,30,145294685,KR
vpn388824336,525202,30,92207698,KR
vpn347684949,519331,32,175171022,KR
vpn943628174,519067,32,80061718,KR
vpn122323358,518974,32,35664998,TH
vpn401278225,517566,31,53141427,KR
vpn382475452,517111,32,73717912,KR
vpn791974767,513220,33,177575053,KR
vpn582853974,498906,39,41241779,KR
vpn554664784,497509,37,62864697,KR
vpn141190559,496276,37,57671721,KR
vpn807321584,494363,38,67233926,KR
vpn423781038,494154,38,83264768,KR
vpn459470183,486230,43,91171472,KR
vpn246915003,484779,44,76133192,KR
vpn365436659,476746,46,41016611,KR
vpn599368155,476660,48,71751872,KR
vpn453597216,473925,34,27580425,TW
vpn0806449,471745,93,30085022,TW
vpn100798531,464773,54,48027649,KR
vpn280182268,446818,67,55909562,KR
vpn159845501,444728,35,24845803,KR
vpn160042316,430929,64,28156793,KR
vpn968829407,423339,122,52681379,KR
vpn886205330,416193,32,23612378,JP
vpn644384175,348196,36,16998024,CA
2016-2,290627,19,62903908,HK
vpn346826522,282623,54,14225984,VN
vpn545643660,261356,24,7277973,TH
vpn404301657,259433,52,12785969,VN
vpn468816054,225839,36,8658952,TH
hoangtu-vpn,225301,53,9094566,VN
vpn808562669,202466,116,11288631,KR
lolggwp,166546,19,65959853,TW
nanamoe-2nd,166025,3,270568036,JP
vpn575577651,147899,133,6755146,JP
vpn977948297,133485,57,4524036,RU
vpn371770321,130616,31,34072627,KR
vpn177812941,128390,38,39618462,KR
vpn638662855,127474,40,37801204,KR
vpn729126112,127133,34,27583557,KR
vpn934342436,125917,34,92315808,KR
vpn704977087,124824,34,26436284,JP
vpn307030922,123014,34,0,TH
vpn615819216,120294,9,15114227,FR
vpn925755977,118789,35,27808627,KR
vpn942383950,118488,11,17885645,JP
vpn914446405,117989,50,87432378,KR
vpn797066232,116319,73,71473843,KR
vpn715196327,107787,-,560195342,US
vpn903112529,105646,5,15687968,JP
vpn660428710,104285,13,10155982,FR
vpn445806980,101090,315,25268019,JP
vpn505951257,97996,17,11381962,US
vpn756627748,97343,18,10617689,RU
vpn171988887,88520,77,21240708,KR
vpn466753559,85102,33,14919321,KR
vpn191062352,81334,81,19550489,KR
vpn963743060,80191,3,7257557,JP
vpn848318170,68468,28,5891229,CA
889907025n,66104,26,1044972,IN
vpn550768093,57643,40,9412748,MU
vpn644706320,54978,-,13844840,TH
vpn503485485,54633,56,8570586,PR
vpn875456657,53860,64,6901676,TW
vpn192076257,52092,118,10731936,CN
vpn387538782,51001,69,6949905,JP
vpn580576712,49846,105,695582,IQ
vpn313299507,46441,62,8168052,TH
vpn757082780,45815,-,12152072,CA
vpn970209171,45314,24,283532,CA
vpn474569971,44602,52,5785419,KZ
vpn747319579,43540,-,12471874,US
vpn465206972,42037,57,2853293,KR
vpn947089024,38648,379,1470417,JM
vpn885979621,38020,51,118865,VN
vpn949229468,34292,563,3236311,KR
vpn797544459,28042,44,1347376,DZ
vpn125959704,24019,-,1943485,SA
vpn933671520,22125,80,1424381,DZ
vpn354712963,20472,143,829548,DZ
vpn695474055,16644,-,2195212,UA
vpn374313490,14368,-,0,ES
vpn197851603,12774,-,0,SE
vpn955185144,9585,-,1015399,SN
vpn981524225,7306,-,0,MA
#HostName,Score,Ping,Speed,CountryShort
vpn150500318,605660,3,428977027,JP
vpn980748231,595718,2,97890250,JP
vpn208381937,592405,4,59073328,JP
vpn789110912,590086,15,41474666,JP
vpn292982077,589024,5,96178792,JP
vpn385443899,587025,3,238600581,JP
vpn244260261,554162,22,34387883,CA
vpn866818039,527730,26,40962604,TH
vpn533581580,520099,33,67637465,KR
vpn605788058,505626,36,151167401,KR
vpn141190559,501076,37,57671721,KR
vpn532797362,499570,37,54123068,KR
vpn127033276,497426,32,121926824,KR
vpn985981275,496542,38,64753351,KR
vpn410064745,494989,38,46307264,KR
vpn0806449,472518,93,30085022,TW
vpn296047703,466729,55,65669837,KR
vpn453597216,466545,34,27580425,TW
vpn300240608,451343,67,64508459,RU
vpn462586288,447410,70,51919785,KR
vpn430163236,427698,88,36949102,KR
vpn369247449,416297,149,64693563,KR
vpn160341581,392525,23,15839069,VN
vpn424166822,386528,-,53580454,KR
vpn386070738,368415,117,25055980,RU
vpn958884217,351315,61,20984894,VN
vpn109833471,327793,6,9700560,NL
vpn660199659,321091,32,15129145,TH
vpn196295916,320359,56,18511104,KR
2016-2,291627,19,62903908,HK
vpn559546541,289445,3,6150044,JP
vpn593251136,252941,43,12296657,TH
vpn368338293,243280,54,13922982,RO
vpn825650347,231695,24,2991963,FR
vpn112787383,225399,26,3310198,BG
hoangtu-vpn,219987,53,9094566,VN
lolggwp,164574,19,65959853,TW
nanamoe-2nd,162651,3,270568036,JP
vpn313667823,152662,42,4512356,TH
vpn614702717,151243,10,33643369,JP
vpn495464867,147795,8,41255094,JP
vpn368915302,140070,55,4595915,ES
vpn268393260,128818,15,21548579,JP
vpn212207461,127211,40,33605064,KR
vpn816646748,126246,25,24676007,ID
vpn523822624,124961,36,83995107,KR
vpn603514183,124758,16,20160297,JP
vpn853434851,124409,36,37237492,KR
vpn615819216,123291,9,15114227,FR
vpn775969766,122464,15,22379388,TH
vpn802611030,119453,11,17776720,JP
vpn715196327,112777,-,560195342,US
vpn660428710,107337,13,10155982,FR
vpn445806980,104623,315,25268019,JP
vpn964875951,104096,40,21906496,US
vpn664539713,102056,43,0,VN
vpn839004159,101072,12,11833266,RU
vpn452291892,93448,25,13094627,AU
vpn223984112,91718,23,12501494,JP
vpn328582756,89142,68,19430947,KR
vpn699432025,84476,23,11163323,VN
vpn354905138,83706,25,9098345,RU
vpn824493724,82232,54,16497649,KR
vpn819648138,76508,21,7294556,RU
vpn369568498,75230,21,8482897,TH
vpn939232410,73945,76,15843963,VN
vpn894405449,71801,256,2004232,CA
vpn649055978,70375,18,4403737,RU
vpn844012453,68418,22,6112675,JP
889907025n,62550,26,1044972,IN
vpn569819977,59723,16,0,AU
vpn875456657,58433,64,6901676,TW
vpn307889072,56638,19,0,BE
vpn214063176,54432,31,5352964,TH
vpn375512352,49533,40,7155796,TH
vpn433522792,48293,-,1404893,OM
vpn921657238,46263,32,0,KR
vpn263391474,40851,30,0,MY
vpn328087904,39353,-,2217828,KH
vpn949229468,39257,563,3236311,KR
vpn358833204,36322,405,1588829,AZ
vpn885979621,34690,51,118865,VN
